,Date,Team,2007,Last 3,Last 1,Home,Away,2006,Current,Previous
2604,2007-07-02,Texas,,0.667,1.000,0.469,0.368,,0.414,--
2605,2007-07-02,Washington,,0.333,1.000,0.412,0.405,,0.409,--
2606,2007-07-02,Houston,,0.667,1.000,0.514,0.308,,0.405,--
2607,2007-07-02,Tampa Bay,,0.000,0.000,0.447,0.345,,0.403,--
2608,2007-07-02,Baltimore,,0.333,0.000,0.429,0.364,,0.397,--
2609,2007-07-02,Cincinnati,,0.333,0.000,0.361,0.361,,0.361,1.000
2610,2007-07-03,LA Angels,,0.667,1.000,0.700,0.656,,0.681,--
2611,2007-07-03,Cleveland,,1.000,1.000,0.730,0.514,,0.622,--
2612,2007-07-03,San Diego,,0.667,1.000,0.600,0.583,,0.592,0.000
2613,2007-07-03,Milwaukee,,0.667,1.000,0.707,0.438,,0.589,--
2614,2007-07-03,Boston,,0.333,1.000,0.594,0.583,,0.588,--
2615,2007-07-03,Seattle,,0.667,0.000,0.676,0.486,,0.583,--
2616,2007-07-03,Detroit,,0.333,1.000,0.514,0.656,,0.582,--
2617,2007-07-03,LA Dodgers,,0.667,1.000,0.588,0.513,,0.548,--
2618,2007-07-03,NY Mets,,0.333,0.000,0.539,0.559,,0.548,--
2619,2007-07-03,Arizona,,0.000,0.000,0.583,0.500,,0.541,--
2620,2007-07-03,Philadelphia,,0.333,0.000,0.539,0.526,,0.533,0.000
2621,2007-07-03,Chi Cubs,,0.667,1.000,0.514,0.541,,0.528,1.000
2622,2007-07-03,Minnesota,,0.333,0.000,0.529,0.500,,0.514,1.000
2623,2007-07-03,Atlanta,,0.333,0.000,0.486,0.541,,0.514,1.000
2624,2007-07-03,Oakland,,0.667,0.000,0.515,0.487,,0.500,--
2625,2007-07-03,Colorado,,0.667,1.000,0.541,0.417,,0.480,--
2626,2007-07-03,Toronto,,0.333,1.000,0.576,0.395,,0.479,0.000
2627,2007-07-03,NY Yankees,,0.333,1.000,0.594,0.371,,0.478,--
2628,2007-07-03,Miami,,0.333,0.000,0.421,0.528,,0.473,--
2629,2007-07-03,Kansas City,,0.333,1.000,0.436,0.516,,0.471,--
2630,2007-07-03,St. Louis,,0.667,1.000,0.531,0.395,,0.457,0.000
2631,2007-07-03,SF Giants,,0.667,1.000,0.525,0.344,,0.444,--
2632,2007-07-03,Pittsburgh,,0.333,0.000,0.472,0.395,,0.432,--
2633,2007-07-03,Chi Sox,,0.667,0.000,0.375,0.472,,0.427,--
2634,2007-07-03,Houston,,0.667,1.000,0.528,0.308,,0.413,--
2635,2007-07-03,Texas,,0.667,0.000,0.469,0.359,,0.409,--
2636,2007-07-03,Baltimore,,0.667,1.000,0.429,0.382,,0.406,--
2637,2007-07-03,Washington,,0.333,0.000,0.400,0.405,,0.403,--
2638,2007-07-03,Tampa Bay,,0.000,0.000,0.447,0.333,,0.397,--
2639,2007-07-03,Cincinnati,,0.333,0.000,0.361,0.361,,0.361,1.000
2640,2007-07-04,LA Angels,,0.333,0.000,0.700,0.636,,0.671,--
2641,2007-07-04,Cleveland,,1.000,1.000,0.730,0.526,,0.627,--
2642,2007-07-04,Boston,,0.667,1.000,0.606,0.583,,0.594,--
2643,2007-07-04,San Diego,,0.333,0.000,0.583,0.583,,0.583,0.000
2644,2007-07-04,Milwaukee,,0.333,0.000,0.707,0.424,,0.581,--
2645,2007-07-04,Seattle,,0.333,0.000,0.676,0.472,,0.575,--
2646,2007-07-04,Detroit,,0.333,0.000,0.500,0.656,,0.574,--
2647,2007-07-04,LA Dodgers,,1.000,1.000,0.600,0.513,,0.554,--
2648,2007-07-04,Arizona,,0.333,1.000,0.583,0.513,,0.547,--
2649,2007-07-04,NY Mets,,0.000,0.000,0.539,0.543,,0.541,--
2650,2007-07-04,Chi Cubs,,1.000,1.000,0.514,0.553,,0.534,1.000
2651,2007-07-04,Philadelphia,,0.333,0.000,0.539,0.513,,0.526,0.000
2652,2007-07-04,Minnesota,,0.000,0.000,0.529,0.487,,0.507,1.000
2653,2007-07-04,Atlanta,,0.000,0.000,0.486,0.526,,0.507,1.000
2654,2007-07-04,Oakland,,0.667,1.000,0.529,0.487,,0.507,--
2655,2007-07-04,Colorado,,0.667,1.000,0.553,0.417,,0.487,--
2656,2007-07-04,NY Yankees,,0.667,1.000,0.606,0.371,,0.485,--
2657,2007-07-04,Miami,,0.667,1.000,0.421,0.541,,0.480,--
2658,2007-07-04,Kansas City,,0.667,1.000,0.450,0.516,,0.479,--
2659,2007-07-04,Toronto,,0.333,0.000,0.576,0.385,,0.472,0.000
2660,2007-07-04,St. Louis,,0.667,0.000,0.515,0.395,,0.451,0.000
2661,2007-07-04,Pittsburgh,,0.333,1.000,0.487,0.395,,0.440,--
2662,2007-07-04,SF Giants,,0.667,0.000,0.525,0.333,,0.438,--
2663,2007-07-04,Chi Sox,,0.667,1.000,0.394,0.472,,0.435,--
2664,2007-07-04,Houston,,1.000,1.000,0.541,0.308,,0.421,--
2665,2007-07-04,Texas,,0.667,1.000,0.485,0.359,,0.417,--
2666,2007-07-04,Baltimore,,0.333,0.000,0.429,0.371,,0.400,--
2667,2007-07-04,Washington,,0.333,0.000,0.389,0.405,,0.397,--
2668,2007-07-04,Tampa Bay,,0.000,0.000,0.447,0.323,,0.391,--
2669,2007-07-04,Cincinnati,,0.667,1.000,0.378,0.361,,0.370,1.000
2670,2007-07-05,LA Angels,,0.333,0.000,0.700,0.618,,0.662,--
2671,2007-07-05,Cleveland,,0.667,0.000,0.730,0.513,,0.618,--
2672,2007-07-05,Boston,,1.000,1.000,0.618,0.583,,0.600,--
2673,2007-07-05,San Diego,,0.667,1.000,0.595,0.583,,0.589,0.000
2674,2007-07-05,Seattle,,0.333,1.000,0.676,0.487,,0.581,--
2675,2007-07-05,Detroit,,0.667,1.000,0.514,0.656,,0.580,--
2676,2007-07-05,Milwaukee,,0.333,0.000,0.707,0.412,,0.573,--
2677,2007-07-05,LA Dodgers,,0.667,0.000,0.583,0.513,,0.547,--
2678,2007-07-05,Arizona,,0.333,0.000,0.583,0.500,,0.540,--
2679,2007-07-05,NY Mets,,0.000,0.000,0.539,0.528,,0.533,--
2680,2007-07-05,Philadelphia,,0.333,1.000,0.539,0.525,,0.532,0.000
2681,2007-07-05,Chi Cubs,,0.667,0.000,0.514,0.539,,0.527,1.000
2682,2007-07-05,Minnesota,,0.333,1.000,0.529,0.500,,0.514,1.000
2683,2007-07-05,Atlanta,,0.333,1.000,0.486,0.539,,0.514,1.000
2684,2007-07-05,Oakland,,0.333,0.000,0.514,0.487,,0.500,--
2685,2007-07-05,Colorado,,1.000,1.000,0.564,0.417,,0.493,--
2686,2007-07-05,Toronto,,0.667,1.000,0.576,0.400,,0.480,0.000
2687,2007-07-05,NY Yankees,,0.667,0.000,0.588,0.371,,0.478,--
2688,2007-07-05,Miami,,0.333,0.000,0.421,0.526,,0.474,--
2689,2007-07-05,Kansas City,,0.667,0.000,0.439,0.516,,0.472,--
2690,2007-07-05,St. Louis,,0.667,1.000,0.529,0.395,,0.458,0.000
2691,2007-07-05,Pittsburgh,,0.667,1.000,0.500,0.395,,0.447,--
2692,2007-07-05,SF Giants,,0.667,1.000,0.525,0.353,,0.446,--
2693,2007-07-05,Chi Sox,,0.333,0.000,0.382,0.472,,0.429,--
2694,2007-07-05,Texas,,0.667,1.000,0.500,0.359,,0.425,--
2695,2007-07-05,Houston,,0.667,0.000,0.526,0.308,,0.416,--
2696,2007-07-05,Baltimore,,0.667,1.000,0.429,0.389,,0.409,--
2697,2007-07-05,Washington,,0.333,1.000,0.405,0.405,,0.405,--
2698,2007-07-05,Tampa Bay,,0.000,0.000,0.447,0.313,,0.386,--
2699,2007-07-05,Cincinnati,,0.333,0.000,0.368,0.361,,0.365,1.000
2700,2007-07-06,LA Angels,,0.333,1.000,0.700,0.629,,0.667,--
2701,2007-07-06,Cleveland,,0.333,0.000,0.730,0.500,,0.610,--
2702,2007-07-06,Boston,,1.000,1.000,0.629,0.583,,0.606,--
2703,2007-07-06,Detroit,,0.667,1.000,0.526,0.656,,0.586,--
2704,2007-07-06,San Diego,,0.333,0.000,0.579,0.583,,0.581,0.000
2705,2007-07-06,Seattle,,0.333,0.000,0.676,0.474,,0.573,--
2706,2007-07-06,Milwaukee,,0.000,0.000,0.707,0.400,,0.566,--
2707,2007-07-06,NY Mets,,0.333,1.000,0.539,0.541,,0.540,--
2708,2007-07-06,LA Dodgers,,0.333,0.000,0.568,0.513,,0.540,--
2709,2007-07-06,Chi Cubs,,0.667,1.000,0.514,0.550,,0.533,1.000
2710,2007-07-06,Arizona,,0.333,0.000,0.583,0.488,,0.533,--
2711,2007-07-06,Philadelphia,,0.333,1.000,0.539,0.525,,0.532,0.000
2712,2007-07-06,Atlanta,,0.667,1.000,0.486,0.550,,0.520,1.000
2713,2007-07-06,Minnesota,,0.333,0.000,0.529,0.487,,0.507,1.000
2714,2007-07-06,Oakland,,0.667,1.000,0.528,0.487,,0.507,--
2715,2007-07-06,Colorado,,1.000,1.000,0.564,0.417,,0.493,--
2716,2007-07-06,NY Yankees,,0.667,1.000,0.600,0.371,,0.486,--
2717,2007-07-06,Miami,,0.667,1.000,0.421,0.539,,0.481,--
2718,2007-07-06,Toronto,,0.667,1.000,0.576,0.400,,0.480,0.000
2719,2007-07-06,Kansas City,,0.667,0.000,0.439,0.516,,0.472,--
2720,2007-07-06,St. Louis,,0.667,1.000,0.543,0.395,,0.466,0.000
2721,2007-07-06,Pittsburgh,,1.000,1.000,0.513,0.395,,0.455,--
2722,2007-07-06,SF Giants,,0.333,0.000,0.525,0.343,,0.440,--
2723,2007-07-06,Chi Sox,,0.667,1.000,0.400,0.472,,0.437,--
2724,2007-07-06,Texas,,0.667,0.000,0.486,0.359,,0.419,--
2725,2007-07-06,Houston,,0.333,0.000,0.513,0.308,,0.410,--
2726,2007-07-06,Baltimore,,0.333,0.000,0.429,0.378,,0.403,--
2727,2007-07-06,Washington,,0.333,0.000,0.395,0.405,,0.400,--
2728,2007-07-06,Tampa Bay,,0.000,0.000,0.447,0.303,,0.380,--
2729,2007-07-06,Cincinnati,,0.667,1.000,0.385,0.361,,0.373,1.000
2730,2007-07-07,LA Angels,,0.333,0.000,0.700,0.611,,0.658,--
2731,2007-07-07,Cleveland,,0.000,0.000,0.730,0.488,,0.603,--
2732,2007-07-07,Boston,,0.667,0.000,0.629,0.568,,0.597,--
2733,2007-07-07,Detroit,,1.000,1.000,0.539,0.656,,0.592,--
2734,2007-07-07,Seattle,,0.667,1.000,0.676,0.487,,0.579,--
2735,2007-07-07,San Diego,,0.333,0.000,0.564,0.583,,0.573,0.000
2736,2007-07-07,Milwaukee,,0.333,1.000,0.707,0.417,,0.571,--
2737,2007-07-07,NY Mets,,0.333,0.000,0.539,0.526,,0.533,--
2738,2007-07-07,LA Dodgers,,0.000,0.000,0.553,0.513,,0.533,--
2739,2007-07-07,Chi Cubs,,0.333,0.000,0.514,0.537,,0.526,1.000
2740,2007-07-07,Atlanta,,1.000,1.000,0.486,0.561,,0.526,1.000
2741,2007-07-07,Arizona,,0.000,0.000,0.583,0.476,,0.526,--
2742,2007-07-07,Philadelphia,,0.333,0.000,0.539,0.512,,0.525,0.000
2743,2007-07-07,Minnesota,,0.667,1.000,0.529,0.500,,0.514,1.000
2744,2007-07-07,Oakland,,0.333,0.000,0.514,0.487,,0.500,--
2745,2007-07-07,Colorado,,1.000,1.000,0.575,0.417,,0.500,--
2746,2007-07-07,NY Yankees,,0.667,1.000,0.611,0.371,,0.493,--
2747,2007-07-07,Miami,,0.667,1.000,0.421,0.550,,0.487,--
2748,2007-07-07,Toronto,,0.667,1.000,0.588,0.400,,0.487,0.000
2749,2007-07-07,Kansas City,,0.333,0.000,0.429,0.516,,0.466,--
2750,2007-07-07,Pittsburgh,,1.000,1.000,0.525,0.395,,0.462,--
2751,2007-07-07,St. Louis,,0.667,0.000,0.528,0.395,,0.460,0.000
2752,2007-07-07,SF Giants,,0.667,1.000,0.525,0.361,,0.447,--
2753,2007-07-07,Chi Sox,,0.333,0.000,0.389,0.472,,0.431,--
2754,2007-07-07,Texas,,0.667,1.000,0.500,0.359,,0.427,--
2755,2007-07-07,Houston,,0.333,1.000,0.525,0.308,,0.418,--
2756,2007-07-07,Baltimore,,0.333,0.000,0.429,0.368,,0.397,--
2757,2007-07-07,Washington,,0.333,0.000,0.385,0.405,,0.395,--
2758,2007-07-07,Tampa Bay,,0.333,1.000,0.447,0.324,,0.389,--
2759,2007-07-07,Cincinnati,,0.667,1.000,0.400,0.361,,0.382,1.000
2760,2007-07-08,LA Angels,,0.667,1.000,0.700,0.622,,0.662,--
2761,2007-07-08,Cleveland,,0.333,1.000,0.730,0.500,,0.608,--
2762,2007-07-08,Detroit,,1.000,1.000,0.550,0.656,,0.597,--
2763,2007-07-08,Boston,,0.333,0.000,0.629,0.553,,0.589,--
2764,2007-07-08,Seattle,,0.667,1.000,0.676,0.500,,0.584,--
2765,2007-07-08,San Diego,,0.333,1.000,0.575,0.583,,0.579,0.000
2766,2007-07-08,Milwaukee,,0.333,0.000,0.707,0.405,,0.564,--
2767,2007-07-08,NY Mets,,0.667,1.000,0.539,0.539,,0.539,--
2768,2007-07-08,Chi Cubs,,0.667,1.000,0.514,0.548,,0.533,1.000
2769,2007-07-08,LA Dodgers,,0.000,0.000,0.539,0.513,,0.526,--
2770,2007-07-08,Atlanta,,0.667,0.000,0.486,0.548,,0.520,1.000
2771,2007-07-08,Arizona,,0.000,0.000,0.583,0.465,,0.519,--
2772,2007-07-08,Philadelphia,,0.333,0.000,0.539,0.500,,0.519,0.000
2773,2007-07-08,Minnesota,,0.333,0.000,0.529,0.488,,0.507,1.000
2774,2007-07-08,Colorado,,1.000,1.000,0.585,0.417,,0.507,--
2775,2007-07-08,Miami,,1.000,1.000,0.421,0.561,,0.494,--
2776,2007-07-08,Oakland,,0.333,0.000,0.500,0.487,,0.494,--
2777,2007-07-08,NY Yankees,,0.667,0.000,0.595,0.371,,0.486,--
2778,2007-07-08,Toronto,,0.667,0.000,0.571,0.400,,0.480,0.000
2779,2007-07-08,Kansas City,,0.333,1.000,0.442,0.516,,0.473,--
2780,2007-07-08,Pittsburgh,,0.667,0.000,0.512,0.395,,0.456,--
2781,2007-07-08,SF Giants,,0.667,1.000,0.525,0.378,,0.455,--
2782,2007-07-08,St. Louis,,0.333,0.000,0.514,0.395,,0.453,0.000
2783,2007-07-08,Chi Sox,,0.667,1.000,0.405,0.472,,0.438,--
2784,2007-07-08,Texas,,0.333,0.000,0.487,0.359,,0.421,--
2785,2007-07-08,Houston,,0.333,0.000,0.512,0.308,,0.413,--
2786,2007-07-08,Baltimore,,0.333,1.000,0.429,0.385,,0.405,--
2787,2007-07-08,Washington,,0.333,1.000,0.400,0.405,,0.403,--
2788,2007-07-08,Cincinnati,,1.000,1.000,0.415,0.361,,0.390,1.000
2789,2007-07-08,Tampa Bay,,0.333,0.000,0.447,0.314,,0.384,--
2790,2007-07-09,LA Angels,,0.333,0.000,0.700,0.605,,0.654,--
2791,2007-07-09,Detroit,,1.000,1.000,0.561,0.656,,0.603,--
2792,2007-07-09,Cleveland,,0.333,0.000,0.730,0.488,,0.600,--
2793,2007-07-09,Seattle,,1.000,1.000,0.676,0.512,,0.590,--
2794,2007-07-09,Boston,,0.000,0.000,0.629,0.539,,0.581,--
2795,2007-07-09,San Diego,,0.333,0.000,0.561,0.583,,0.571,0.000
2796,2007-07-09,Milwaukee,,0.333,0.000,0.707,0.395,,0.557,--
2797,2007-07-09,NY Mets,,0.333,0.000,0.539,0.525,,0.532,--
2798,2007-07-09,LA Dodgers,,0.333,1.000,0.550,0.513,,0.532,--
2799,2007-07-09,Atlanta,,0.667,1.000,0.486,0.558,,0.526,1.000
2800,2007-07-09,Chi Cubs,,0.333,0.000,0.514,0.535,,0.526,1.000
2801,2007-07-09,Philadelphia,,0.333,1.000,0.539,0.512,,0.524,0.000
2802,2007-07-09,Arizona,,0.000,0.000,0.583,0.455,,0.513,--
2803,2007-07-09,Minnesota,,0.333,0.000,0.529,0.476,,0.500,1.000
2804,2007-07-09,Colorado,,0.667,0.000,0.571,0.417,,0.500,--
2805,2007-07-09,NY Yankees,,0.667,1.000,0.605,0.371,,0.493,--
2806,2007-07-09,Miami,,0.667,0.000,0.421,0.548,,0.488,--
2807,2007-07-09,Oakland,,0.000,0.000,0.487,0.487,,0.487,--
2808,2007-07-09,Toronto,,0.667,1.000,0.583,0.400,,0.487,0.000
2809,2007-07-09,Kansas City,,0.667,1.000,0.455,0.516,,0.480,--
2810,2007-07-09,Pittsburgh,,0.667,1.000,0.524,0.395,,0.463,--
2811,2007-07-09,St. Louis,,0.333,1.000,0.526,0.395,,0.461,0.000
2812,2007-07-09,SF Giants,,0.667,0.000,0.525,0.368,,0.449,--
2813,2007-07-09,Chi Sox,,0.667,1.000,0.421,0.472,,0.446,--
2814,2007-07-09,Texas,,0.667,1.000,0.500,0.359,,0.429,--
2815,2007-07-09,Houston,,0.667,1.000,0.524,0.308,,0.420,--
2816,2007-07-09,Washington,,0.667,1.000,0.415,0.405,,0.410,--
2817,2007-07-09,Baltimore,,0.333,0.000,0.429,0.375,,0.400,--
2818,2007-07-09,Cincinnati,,1.000,1.000,0.429,0.361,,0.397,1.000
2819,2007-07-09,Tampa Bay,,0.333,0.000,0.447,0.306,,0.378,--
2820,2007-07-10,LA Angels,,0.333,0.000,0.700,0.605,,0.654,--
2821,2007-07-10,Detroit,,1.000,1.000,0.561,0.656,,0.603,--
2822,2007-07-10,Cleveland,,0.333,0.000,0.730,0.488,,0.600,--
2823,2007-07-10,Seattle,,1.000,1.000,0.676,0.512,,0.590,--
2824,2007-07-10,Boston,,0.000,0.000,0.629,0.539,,0.581,--
2825,2007-07-10,San Diego,,0.333,0.000,0.561,0.583,,0.571,0.000
2826,2007-07-10,Milwaukee,,0.333,0.000,0.707,0.395,,0.557,--
2827,2007-07-10,LA Dodgers,,0.333,1.000,0.550,0.513,,0.532,--
2828,2007-07-10,NY Mets,,0.333,0.000,0.539,0.525,,0.532,--
2829,2007-07-10,Atlanta,,0.667,1.000,0.486,0.558,,0.526,1.000
2830,2007-07-10,Chi Cubs,,0.333,0.000,0.514,0.535,,0.526,1.000
2831,2007-07-10,Philadelphia,,0.333,1.000,0.539,0.512,,0.524,0.000
2832,2007-07-10,Arizona,,0.000,0.000,0.583,0.455,,0.513,--
2833,2007-07-10,Minnesota,,0.333,0.000,0.529,0.476,,0.500,1.000
2834,2007-07-10,Colorado,,0.667,0.000,0.571,0.417,,0.500,--
2835,2007-07-10,NY Yankees,,0.667,1.000,0.605,0.371,,0.493,--
2836,2007-07-10,Miami,,0.667,0.000,0.421,0.548,,0.488,--
2837,2007-07-10,Oakland,,0.000,0.000,0.487,0.487,,0.487,--
2838,2007-07-10,Toronto,,0.667,1.000,0.583,0.400,,0.487,0.000
2839,2007-07-10,Kansas City,,0.667,1.000,0.455,0.516,,0.480,--
2840,2007-07-10,Pittsburgh,,0.667,1.000,0.524,0.395,,0.463,--
2841,2007-07-10,St. Louis,,0.333,1.000,0.526,0.395,,0.461,0.000
2842,2007-07-10,SF Giants,,0.667,0.000,0.525,0.368,,0.449,--
2843,2007-07-10,Chi Sox,,0.667,1.000,0.421,0.472,,0.446,--
2844,2007-07-10,Texas,,0.667,1.000,0.500,0.359,,0.429,--
2845,2007-07-10,Houston,,0.667,1.000,0.524,0.308,,0.420,--
2846,2007-07-10,Washington,,0.667,1.000,0.415,0.405,,0.410,--
2847,2007-07-10,Baltimore,,0.333,0.000,0.429,0.375,,0.400,--
2848,2007-07-10,Cincinnati,,1.000,1.000,0.429,0.361,,0.397,1.000
2849,2007-07-10,Tampa Bay,,0.333,0.000,0.447,0.306,,0.378,--
2850,2007-07-11,LA Angels,,0.333,0.000,0.700,0.605,,0.654,--
2851,2007-07-11,Detroit,,1.000,1.000,0.561,0.656,,0.603,--
2852,2007-07-11,Cleveland,,0.333,0.000,0.730,0.488,,0.600,--
2853,2007-07-11,Seattle,,1.000,1.000,0.676,0.512,,0.590,--
2854,2007-07-11,Boston,,0.000,0.000,0.629,0.539,,0.581,--
2855,2007-07-11,San Diego,,0.333,0.000,0.561,0.583,,0.571,0.000
2856,2007-07-11,Milwaukee,,0.333,0.000,0.707,0.395,,0.557,--
2857,2007-07-11,LA Dodgers,,0.333,1.000,0.550,0.513,,0.532,--
2858,2007-07-11,NY Mets,,0.333,0.000,0.539,0.525,,0.532,--
2859,2007-07-11,Atlanta,,0.667,1.000,0.486,0.558,,0.526,1.000
2860,2007-07-11,Chi Cubs,,0.333,0.000,0.514,0.535,,0.526,1.000
2861,2007-07-11,Philadelphia,,0.333,1.000,0.539,0.512,,0.524,0.000
2862,2007-07-11,Arizona,,0.000,0.000,0.583,0.455,,0.513,--
2863,2007-07-11,Minnesota,,0.333,0.000,0.529,0.476,,0.500,1.000
2864,2007-07-11,Colorado,,0.667,0.000,0.571,0.417,,0.500,--
2865,2007-07-11,NY Yankees,,0.667,1.000,0.605,0.371,,0.493,--
2866,2007-07-11,Miami,,0.667,0.000,0.421,0.548,,0.488,--
2867,2007-07-11,Oakland,,0.000,0.000,0.487,0.487,,0.487,--
2868,2007-07-11,Toronto,,0.667,1.000,0.583,0.400,,0.487,0.000
2869,2007-07-11,Kansas City,,0.667,1.000,0.455,0.516,,0.480,--
2870,2007-07-11,Pittsburgh,,0.667,1.000,0.524,0.395,,0.463,--
2871,2007-07-11,St. Louis,,0.333,1.000,0.526,0.395,,0.461,0.000
2872,2007-07-11,SF Giants,,0.667,0.000,0.525,0.368,,0.449,--
2873,2007-07-11,Chi Sox,,0.667,1.000,0.421,0.472,,0.446,--
2874,2007-07-11,Texas,,0.667,1.000,0.500,0.359,,0.429,--
2875,2007-07-11,Houston,,0.667,1.000,0.524,0.308,,0.420,--
2876,2007-07-11,Washington,,0.667,1.000,0.415,0.405,,0.410,--
2877,2007-07-11,Baltimore,,0.333,0.000,0.429,0.375,,0.400,--
2878,2007-07-11,Cincinnati,,1.000,1.000,0.429,0.361,,0.397,1.000
2879,2007-07-11,Tampa Bay,,0.333,0.000,0.447,0.306,,0.378,--
2880,2007-07-12,LA Angels,,0.333,0.000,0.700,0.605,,0.654,--
2881,2007-07-12,Detroit,,1.000,1.000,0.561,0.656,,0.603,--
2882,2007-07-12,Cleveland,,0.333,0.000,0.730,0.488,,0.600,--
2883,2007-07-12,Seattle,,1.000,1.000,0.676,0.512,,0.590,--
2884,2007-07-12,Boston,,0.000,0.000,0.629,0.539,,0.581,--
2885,2007-07-12,San Diego,,0.333,0.000,0.561,0.583,,0.571,0.000
2886,2007-07-12,Milwaukee,,0.333,0.000,0.707,0.395,,0.557,--
2887,2007-07-12,LA Dodgers,,0.333,1.000,0.550,0.513,,0.532,--
2888,2007-07-12,NY Mets,,0.333,0.000,0.539,0.525,,0.532,--
2889,2007-07-12,Atlanta,,0.667,1.000,0.486,0.558,,0.526,1.000
2890,2007-07-12,Chi Cubs,,0.333,0.000,0.514,0.535,,0.526,1.000
2891,2007-07-12,Philadelphia,,0.333,1.000,0.539,0.512,,0.524,0.000
2892,2007-07-12,Arizona,,0.000,0.000,0.583,0.455,,0.513,--
2893,2007-07-12,Minnesota,,0.333,0.000,0.529,0.476,,0.500,1.000
2894,2007-07-12,Colorado,,0.667,0.000,0.571,0.417,,0.500,--
2895,2007-07-12,NY Yankees,,0.667,1.000,0.605,0.371,,0.493,--
2896,2007-07-12,Miami,,0.667,0.000,0.421,0.548,,0.488,--
2897,2007-07-12,Oakland,,0.000,0.000,0.487,0.487,,0.487,--
2898,2007-07-12,Toronto,,0.667,1.000,0.583,0.400,,0.487,0.000
2899,2007-07-12,Kansas City,,0.667,1.000,0.455,0.516,,0.480,--
2900,2007-07-12,Pittsburgh,,0.667,1.000,0.524,0.395,,0.463,--
2901,2007-07-12,St. Louis,,0.333,1.000,0.526,0.395,,0.461,0.000
2902,2007-07-12,SF Giants,,0.667,0.000,0.525,0.368,,0.449,--
2903,2007-07-12,Chi Sox,,0.667,1.000,0.421,0.472,,0.446,--
2904,2007-07-12,Texas,,0.667,1.000,0.500,0.359,,0.429,--
2905,2007-07-12,Houston,,0.667,1.000,0.524,0.308,,0.420,--
2906,2007-07-12,Washington,,0.667,1.000,0.415,0.405,,0.410,--
2907,2007-07-12,Baltimore,,0.333,0.000,0.429,0.375,,0.400,--
2908,2007-07-12,Cincinnati,,1.000,1.000,0.429,0.361,,0.397,1.000
2909,2007-07-12,Tampa Bay,,0.333,0.000,0.447,0.306,,0.378,--
2910,2007-07-13,LA Angels,,0.333,0.000,0.700,0.605,,0.654,--
2911,2007-07-13,Cleveland,,0.333,0.000,0.730,0.488,,0.600,--
2912,2007-07-13,Seattle,,1.000,1.000,0.684,0.512,,0.595,--
2913,2007-07-13,Detroit,,0.667,0.000,0.561,0.636,,0.595,--
2914,2007-07-13,Boston,,0.333,1.000,0.639,0.539,,0.587,--
2915,2007-07-13,San Diego,,0.333,0.000,0.561,0.583,,0.571,0.000
2916,2007-07-13,Milwaukee,,0.333,0.000,0.707,0.395,,0.557,--
2917,2007-07-13,NY Mets,,0.667,1.000,0.550,0.525,,0.538,--
2918,2007-07-13,LA Dodgers,,0.333,1.000,0.550,0.513,,0.532,--
2919,2007-07-13,Atlanta,,0.667,1.000,0.486,0.558,,0.526,1.000
2920,2007-07-13,Chi Cubs,,0.333,0.000,0.514,0.535,,0.526,1.000
2921,2007-07-13,Philadelphia,,0.333,1.000,0.539,0.512,,0.524,0.000
2922,2007-07-13,Arizona,,0.000,0.000,0.583,0.455,,0.513,--
2923,2007-07-13,Minnesota,,0.333,1.000,0.543,0.476,,0.507,1.000
2924,2007-07-13,Colorado,,0.667,0.000,0.571,0.417,,0.500,--
2925,2007-07-13,NY Yankees,,0.667,1.000,0.605,0.389,,0.500,--
2926,2007-07-13,Miami,,0.667,0.000,0.421,0.548,,0.488,--
2927,2007-07-13,Oakland,,0.000,0.000,0.487,0.475,,0.481,--
2928,2007-07-13,Toronto,,0.333,0.000,0.583,0.390,,0.481,0.000
2929,2007-07-13,Kansas City,,0.667,1.000,0.455,0.516,,0.480,--
2930,2007-07-13,Pittsburgh,,0.667,1.000,0.524,0.395,,0.463,--
2931,2007-07-13,St. Louis,,0.333,1.000,0.526,0.395,,0.461,0.000
2932,2007-07-13,Chi Sox,,1.000,1.000,0.421,0.487,,0.453,--
2933,2007-07-13,SF Giants,,0.667,0.000,0.525,0.368,,0.449,--
2934,2007-07-13,Texas,,0.667,1.000,0.500,0.359,,0.429,--
2935,2007-07-13,Houston,,0.667,1.000,0.524,0.308,,0.420,--
2936,2007-07-13,Washington,,0.667,1.000,0.415,0.405,,0.410,--
2937,2007-07-13,Baltimore,,0.333,0.000,0.417,0.375,,0.395,--
2938,2007-07-13,Cincinnati,,0.667,0.000,0.429,0.351,,0.392,1.000
2939,2007-07-13,Tampa Bay,,0.000,0.000,0.436,0.306,,0.373,--
2940,2007-07-14,LA Angels,,0.667,1.000,0.707,0.605,,0.658,--
2941,2007-07-14,Cleveland,,0.667,1.000,0.737,0.488,,0.605,--
2942,2007-07-14,Detroit,,0.667,1.000,0.561,0.647,,0.600,--
2943,2007-07-14,Seattle,,0.667,0.000,0.667,0.512,,0.588,--
2944,2007-07-14,Boston,,0.333,0.000,0.622,0.539,,0.579,--
2945,2007-07-14,San Diego,,0.333,0.000,0.561,0.568,,0.564,0.000
2946,2007-07-14,Milwaukee,,0.000,0.000,0.691,0.395,,0.550,--
2947,2007-07-14,LA Dodgers,,0.667,1.000,0.550,0.525,,0.538,--
2948,2007-07-14,Chi Cubs,,0.667,1.000,0.528,0.535,,0.532,1.000
